행 레이블,국민임대,영구임대,행복주택,총합계
강원도,21085,4889,739,26713
강릉시,2790,860,,3650
동해시,1054,298,,1352
삼척시,816,360,,1176
속초시,803,478,,1281
양양군,261,,,261
원주시,7685,1477,259,9421
인제군,2,,,2
정선군,541,,,541
철원군,332,,,332
춘천시,5359,1296,480,7135
태백시,714,,,714
평창군,239,,,239
홍천군,81,,,81
화천군,47,120,,167
횡성군,361,,,361
경기도,220351,30369,38252,288972
가평군,335,,,335
고양시,18767,3655,2496,24918
광명시,5648,3292,,8940
구리시,1166,380,394,1940
군포시,1986,3641,480,6107
김포시,16932,,3001,19933
남양주시,18557,,2962,21519
동두천시,1543,,,1543
부천시,5407,3395,296,9098
성남시,14443,5052,1726,21221
수원시,9499,1825,900,12224
시흥시,6938,1911,1816,10665
안산시,4495,588,,5083
안성시,1277,,699,1976
안양시,1987,489,,2476
양주시,9349,578,2288,12215
연천군,428,,,428
오산시,8348,,2482,10830
용인시,16523,,70,16593
의왕시,3781,,2310,6091
의정부시,7432,1422,1901,10755
이천시,1760,,290,2050
파주시,16515,,3810,20325
평택시,8994,744,2055,11793
포천시,2416,,,2416
하남시,8132,1627,2589,12348
화성시,27693,1770,5687,35150
경남,353,2,,355
남해군,353,,,353
진해시,,2,,2
경상남도,36710,5182,5633,47525
거제시,875,,,875
거창군,501,,,501
고성군,409,,200,609
김해시,8707,552,1680,10939
남해군,353,,,353
밀양시,1576,447,,2023
사천시,1804,447,,2251
양산시,10384,,900,11284
의령군,283,,196,479
진주시,1794,1187,1538,4519
창녕군,338,,,338
창원시,5756,1891,1046,8693
통영시,1741,618,73,2432
하동군,306,,,306
함안군,1277,,,1277
함양군,467,,,467
합천군,139,40,,179
경상북도,24394,7297,700,32391
경산시,2447,388,,2835
경주시,3220,1210,,4430
고령군,1491,,,1491
구미시,2173,600,,2773
군위군,296,,,296
김천시,1985,388,410,2783
문경시,,388,,388
봉화군,,,90,90
상주시,1062,478,,1540
안동시,2714,1164,200,4078
영양군,200,,,200
영주시,403,745,,1148
영천시,1137,447,,1584
예천군,368,,,368
울릉군,181,,,181
울진군,365,,,365
의성군,408,,,408
청도군,354,,,354
청송군,384,20,,404
칠곡군,1965,,,1965
포항시,3241,1469,,4710
광주광역시,24943,10670,2972,38585
광산구,9837,1884,1061,12782
남구,5366,250,1626,7242
동구,264,,264,528
북구,6481,7120,,13601
서구,2995,1416,21,4432
대구광역시,20721,12356,3156,36233
달서구,1107,7256,408,8771
달성군,6570,180,1020,7770
동구,6237,2080,1088,9405
북구,6308,1862,600,8770
서구,,,40,40
수성구,,978,,978
중구,499,,,499
대전광역시,14978,9736,1392,26106
대덕구,141,1488,296,1925
동구,3130,3807,,6937
서구,1746,3121,182,5049
유성구,9961,260,816,11037
중구,,1060,98,1158
부산광역시,17549,15571,1400,34520
강서구,961,,40,1001
기장군,9821,,856,10677
남구,,,14,14
동래구,619,,,619
부산진구,1327,,,1327
북구,2190,6003,,8193
사상구,913,4914,390,6217
영도구,,2944,,2944
해운대구,1718,1710,100,3528
서울특별시,1908,24110,1726,27744
강남구,873,2757,,3630
강북구,,4181,,4181
강서구,350,7834,,8184
구로구,,,890,890
노원구,,7329,100,7429
도봉구,245,,,245
동대문구,,,200,200
동작구,,925,,925
마포구,,,362,362
서초구,440,1084,,1524
송파구,,,40,40
중랑구,,,134,134
세종특별자치시,4857,,450,5307
다정동,1538,,,1538
도움1로,1684,,,1684
보람1길,674,,,674
새롬중앙로,906,,,906
연동면,50,,,50
장군면,5,,,5
조치원읍,,,450,450
울산,666,27,,693
울주군,666,27,,693
울산광역시,8757,2362,1046,12165
남구,,1378,100,1478
동구,1184,984,,2168
북구,4729,,946,5675
울주군,2108,,,2108
중구,736,,,736
인천광역시,24974,6812,5389,37175
계양구,1852,,,1852
남동구,15238,1914,2309,19461
미추홀구,16,,1640,1656
부평구,2863,3142,,6005
서구,3401,,,3401
연수구,,1654,,1654
옹진군,50,102,,152
중구,1554,,1440,2994
전라남도,20648,5695,1560,27903
강진군,189,,,189
고흥군,362,,,362
광양시,985,,430,1415
나주시,1761,288,,2049
담양군,722,120,,842
목포시,4263,1554,450,6267
무안군,2190,,,2190
보성군,368,,,368
순천시,2253,1205,,3458
여수시,3578,2238,400,6216
영광군,531,,,531
영암군,1023,,250,1273
완도군,320,90,,410
장성군,892,30,30,952
장흥군,401,,,401
진도군,110,140,,250
함평군,120,30,,150
해남군,469,,,469
화순군,111,,,111
전라북도,27976,9818,2481,40275
고창군,586,,,586
군산시,6333,1999,400,8732
김제시,1237,693,324,2254
남원시,996,447,,1443
무주군,303,,,303
부안군,462,,,462
순창군,566,,,566
완주군,3155,175,545,3875
익산시,6405,2410,612,9427
임실군,374,,,374
장수군,378,,,378
전주시,5259,3169,,8428
정읍시,1772,925,600,3297
진안군,150,,,150
제주특별자치도,7653,1096,570,9319
서귀포시,2214,400,290,2904
제주시,5439,696,280,6415
충청남도,26375,5198,5476,37049
계룡시,728,114,,842
공주시,1301,712,200,2213
금산군,751,,,751
논산시,2598,100,,2698
당진시,2073,,950,3023
보령시,1790,577,80,2447
부여군,474,58,,532
서산시,2943,389,,3332
서천군,1336,,,1336
아산시,4649,1348,2454,8451
예산군,1120,250,,1370
천안시,3903,1488,1792,7183
청양군,305,,,305
태안군,614,,,614
홍성군,1790,162,,1952
충청북도,29134,6311,2603,38048
괴산군,424,18,18,460
보은군,800,,,800
영동군,349,,,349
옥천군,610,,,610
음성군,4931,,,4931
제천시,3278,1164,,4442
증평군,2216,358,,2574
진천군,1544,,450,1994
청주시,12976,3189,1290,17455
충주시,2006,1582,845,4433
